"Name","Count","Chance","Comment"
,,,
"4 to 9 time","--","--",
"minecraft:enchanted_golden_apple","1..2","1.4%",
"minecraft:music_disc_otherside","1","1.4%",
"minecraft:compass","1","2.8%",
"minecraft:sculk_catalyst","1..2","2.8%",
"minecraft:name_tag","1","2.8%",
"minecraft:diamond_hoe","1","2.8%","enchantments: {level: {type: "minecraft:uniform", min: 30.0, max: 50.0}, treasure: true}"
"minecraft:lead","1","2.8%",
"minecraft:diamond_horse_armor","1","2.8%",
"minecraft:saddle","1","2.8%",
"minecraft:music_disc_13","1","2.8%",
"minecraft:music_disc_cat","1","2.8%",
"minecraft:diamond_leggings","1","2.8%","enchantments: {level: {type: "minecraft:uniform", min: 30.0, max: 50.0}, treasure: true}"
"minecraft:enchanted_book","1","4.2%","enchantments: minecraft:swift_sneak"
"minecraft:sculk","4..10","4.2%",
"minecraft:sculk_sensor","1..3","4.2%",
"minecraft:candle","1..4","4.2%",
"minecraft:amethyst_shard","1..15","4.2%",
"minecraft:experience_bottle","1..3","4.2%",
"minecraft:glow_berries","1..15","4.2%",
"minecraft:iron_leggings","1","4.2%","enchantments: {level: {type: "minecraft:uniform", min: 20.0, max: 39.0}, treasure: true}"
"minecraft:potion","1..3","5.6%",
"minecraft:enchanted_book","1","5.6%","enchantments: *"
"minecraft:book","3..10","5.6%",
"minecraft:bone","1..15","5.6%",
"minecraft:soul_torch","1..15","5.6%",
"minecraft:coal","6..15","8.3%",
